datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,pollution,sunlight,traffic,count
2011-07-11 00:00:00,3,0,1,1,28.7,32.575,65,12.998,5.3541000166652415,28.701,0.0,35
2012-05-18 22:00:00,2,0,1,1,22.96,26.515,52,22.0028,85.4252327683148,22.961000000000002,0.004489314454335112,251
2011-04-01 23:00:00,2,0,1,1,12.3,15.91,61,6.0032,2.040898505447447,12.301,0.0002423054021920468,53
2012-09-16 09:00:00,3,0,0,1,23.78,27.275,60,8.9981,26.682771557109614,23.781000000000002,0.004489314454335112,296
2011-02-01 23:00:00,1,0,1,3,8.2,9.85,93,12.998,5.851754062550186,8.200999999999999,0.0,16
2012-08-07 12:00:00,3,0,1,2,32.8,37.88,55,8.9981,37.17201516389454,32.800999999999995,0.0002423054021920468,283
2012-11-06 21:00:00,4,0,1,2,12.3,14.395,56,16.9979,12.215217249031381,12.301,0.0,151
2011-07-13 22:00:00,3,0,1,1,27.88,31.82,83,12.998,82.92372196026089,27.881,0.0002423054021920468,184
2012-09-19 23:00:00,3,0,1,1,19.68,23.485,67,6.0032,27.467790540423024,19.681,0.01561450243171645,123
2012-06-02 12:00:00,2,0,0,1,25.42,31.06,43,23.9994,86.0691857643227,25.421000000000003,0.01561450243171645,668
2011-01-02 14:00:00,1,0,0,3,14.76,17.425,76,12.998,0.14620712548225856,14.761,0.0002423054021920468,59
2011-03-08 00:00:00,1,0,1,1,10.66,14.395,48,6.0032,1.4940946210384252,10.661,0.01561450243171645,10
2011-12-18 02:00:00,4,0,0,1,9.02,12.12,55,7.0015,21.827321212832643,9.020999999999999,0.0,41
2011-03-03 15:00:00,1,0,1,1,9.84,14.395,23,0.0,6.33083701115231,9.841,0.01561450243171645,68
2012-02-15 00:00:00,1,0,1,1,13.12,17.425,57,0.0,8.16067614340734,13.120999999999999,0.0002423054021920468,22
2012-07-06 11:00:00,3,0,1,1,34.44,36.365,32,6.0032,13.997461679946822,34.440999999999995,0.004489314454335112,233
2011-10-08 07:00:00,4,0,0,1,17.22,21.21,94,6.0032,34.35173317755864,17.221,0.0,73
2011-02-05 14:00:00,1,0,0,3,9.02,13.635,100,0.0,20.600150167282365,9.020999999999999,0.01561450243171645,55
2011-10-15 20:00:00,4,0,0,1,20.5,24.24,48,8.9981,0.16381352590437542,20.501,0.01561450243171645,179
2011-07-06 06:00:00,3,0,1,1,28.7,33.335,79,6.0032,44.771379634416704,28.701,0.004489314454335112,121
2011-04-04 05:00:00,2,0,1,1,16.4,20.455,62,16.9979,0.8933548865613135,16.401,0.01561450243171645,7
2011-11-15 17:00:00,4,0,1,2,20.5,24.24,72,12.998,5.72507399740321,20.501,0.0002423054021920468,451
2011-11-14 11:00:00,4,0,1,2,22.14,25.76,60,19.0012,14.719288060453676,22.141000000000002,0.01561450243171645,128
2011-06-02 09:00:00,2,0,1,1,29.52,31.82,26,23.9994,55.43505646013542,29.521,0.0,225
2012-09-16 20:00:00,3,0,0,1,24.6,31.06,53,7.0015,74.96859608855465,24.601000000000003,0.01561450243171645,324
2012-09-12 15:00:00,3,0,1,1,29.52,32.575,37,8.9981,143.63140143622405,29.521,0.004489314454335112,318
2011-06-10 20:00:00,2,0,1,1,31.16,35.605,62,7.0015,2.0242326824427295,31.161,0.004489314454335112,250
2011-12-06 12:00:00,4,0,1,3,18.86,22.725,100,15.0013,12.188299131428757,18.861,0.01561450243171645,55
2012-02-03 13:00:00,1,0,1,1,14.76,18.18,46,0.0,27.6585897194591,14.761,0.0002423054021920468,198
2011-10-02 23:00:00,4,0,0,1,14.76,18.18,81,6.0032,9.150681545132738,14.761,0.01561450243171645,25
2011-11-14 02:00:00,4,0,1,1,18.86,22.725,63,23.9994,0.7230459487616063,18.861,0.01561450243171645,17
2012-04-04 23:00:00,2,0,1,1,21.32,25.0,23,27.9993,10.83339784698411,21.321,0.004489314454335112,131
2011-07-16 19:00:00,3,0,0,1,30.34,34.09,48,12.998,194.12224302443502,30.341,0.0002423054021920468,406
2012-06-11 12:00:00,2,0,1,2,32.8,36.365,43,12.998,167.42157134942892,32.800999999999995,0.004489314454335112,261
2011-03-10 19:00:00,1,0,1,3,18.04,21.97,0,39.0007,38.10532673445303,18.041,0.0002423054021920468,56
2012-05-10 03:00:00,2,0,1,1,18.86,22.725,88,15.0013,0.3412954500165041,18.861,0.0,3
2012-10-15 11:00:00,4,0,1,2,24.6,29.545,73,26.0027,32.87549579051409,24.601000000000003,0.0002423054021920468,263
2012-01-16 15:00:00,1,1,0,1,10.66,10.605,44,30.0026,95.61186055918952,10.661,0.0002423054021920468,192
2012-11-08 21:00:00,4,0,1,1,14.76,16.665,37,26.0027,2.1333978936932003,14.761,0.004489314454335112,233
2012-01-08 20:00:00,1,0,0,1,12.3,15.15,52,11.0014,25.039020283831505,12.301,0.0002423054021920468,126
2011-04-18 09:00:00,2,0,1,2,20.5,24.24,55,7.0015,16.81970051695235,20.501,0.0,169
2012-10-06 07:00:00,4,0,0,1,22.14,25.76,83,19.9995,27.598575910754573,22.141000000000002,0.01561450243171645,84
2012-01-03 18:00:00,1,0,1,1,5.74,4.545,26,35.0008,62.3453825250611,5.7410000000000005,0.01561450243171645,224
2011-03-01 21:00:00,1,0,1,1,10.66,15.15,56,0.0,0.5459757668029162,10.661,0.0002423054021920468,63
2011-07-17 20:00:00,3,0,0,1,31.16,35.605,58,16.9979,5.592832759505426,31.161,0.0002423054021920468,262
2012-04-09 07:00:00,2,0,1,1,17.22,21.21,28,12.998,112.2824479931177,17.221,0.0002423054021920468,331
2012-03-17 12:00:00,1,0,0,1,22.96,26.515,68,11.0014,21.105232412526583,22.961000000000002,0.004489314454335112,651
2011-12-14 11:00:00,4,0,1,2,13.94,18.18,55,0.0,23.37921336880433,13.940999999999999,0.004489314454335112,115
2011-12-14 14:00:00,4,0,1,2,15.58,19.695,54,6.0032,3.351130302510045,15.581,0.01561450243171645,151
2012-12-12 09:00:00,4,0,1,2,11.48,14.395,61,8.9981,51.35377785081212,11.481,0.004489314454335112,285
2011-04-11 00:00:00,2,0,1,1,19.68,23.485,88,22.0028,1.9492199896558178,19.681,0.004489314454335112,23
2012-11-16 21:00:00,4,0,1,1,13.94,16.665,49,12.998,5.027512307180333,13.940999999999999,0.01561450243171645,178
2011-11-16 20:00:00,4,0,1,3,18.04,21.97,88,26.0027,28.691095461476014,18.041,0.0,99
2012-05-18 18:00:00,2,0,1,1,26.24,31.06,38,15.0013,158.14287151095698,26.241,0.0,669
2011-11-06 15:00:00,4,0,0,1,19.68,23.485,51,12.998,148.90734601269526,19.681,0.0,306
2012-04-04 14:00:00,2,0,1,2,25.42,31.06,46,12.998,94.08292246380111,25.421000000000003,0.004489314454335112,258
2012-08-03 22:00:00,3,0,1,1,31.16,36.365,70,16.9979,26.639052533525373,31.161,0.004489314454335112,202
2012-10-10 18:00:00,4,0,1,2,22.96,26.515,49,11.0014,60.45573137456762,22.961000000000002,0.0,844
2012-11-06 09:00:00,4,0,1,1,10.66,12.88,60,11.0014,178.07970111721892,10.661,0.0,363
2012-03-02 21:00:00,1,0,1,3,14.76,18.18,87,6.0032,1.5489191974765881,14.761,0.0,101
2012-12-01 23:00:00,4,0,0,2,13.12,17.425,81,0.0,60.6003625033941,13.120999999999999,0.0002423054021920468,126
2012-10-17 09:00:00,4,0,1,2,17.22,21.21,77,0.0,25.407117722282443,17.221,0.0,382
2011-10-11 14:00:00,4,0,1,3,24.6,29.545,73,7.0015,50.73653847278277,24.601000000000003,0.004489314454335112,171
2011-09-02 23:00:00,3,0,1,2,26.24,30.305,73,11.0014,14.807319775055328,26.241,0.0,98
2012-09-17 16:00:00,3,0,1,2,26.24,30.305,69,16.9979,116.97600711806017,26.241,0.004489314454335112,453
2011-12-13 03:00:00,4,0,1,1,7.38,12.12,80,0.0,1.5907391163714033,7.381,0.0,3
2012-11-03 19:00:00,4,0,0,1,14.76,17.425,50,11.0014,2.6067499007876433,14.761,0.0,239
2011-05-19 03:00:00,2,0,1,1,19.68,23.485,100,0.0,1.7779609627016024,19.681,0.01561450243171645,4
2011-02-18 04:00:00,1,0,1,1,18.86,22.725,67,16.9979,0.05492790331049266,18.861,0.0002423054021920468,1
2012-06-04 00:00:00,2,0,1,1,23.78,27.275,53,0.0,14.390339557766024,23.781000000000002,0.01561450243171645,49
2012-09-11 13:00:00,3,0,1,1,27.06,31.06,29,6.0032,128.72656571949804,27.061,0.01561450243171645,328
2011-10-07 23:00:00,4,0,1,1,20.5,24.24,63,0.0,71.19628524589582,20.501,0.01561450243171645,136
2012-06-18 19:00:00,2,0,1,2,25.42,29.545,73,6.0032,7.391549317253854,25.421000000000003,0.0002423054021920468,463
2012-02-07 09:00:00,1,0,1,1,13.12,16.665,49,0.0,7.43789177602122,13.120999999999999,0.0002423054021920468,289
2011-11-08 20:00:00,4,0,1,1,16.4,20.455,76,0.0,2.7735900882784166,16.401,0.0002423054021920468,181
2012-10-16 03:00:00,4,0,1,1,17.22,21.21,67,7.0015,0.4665175454701594,17.221,0.004489314454335112,2
2011-04-18 13:00:00,2,0,1,2,22.96,26.515,49,11.0014,1.3761991131216569,22.961000000000002,0.0,169
2011-12-10 08:00:00,4,0,0,1,10.66,13.635,65,8.9981,6.423627012082039,10.661,0.0,73
2011-08-17 03:00:00,3,0,1,1,26.24,29.545,78,0.0,0.2953241972816912,26.241,0.0002423054021920468,5
2012-12-11 10:00:00,4,0,1,1,14.76,16.665,57,22.0028,44.5239895235171,14.761,0.01561450243171645,154
2012-06-10 17:00:00,2,0,0,1,33.62,37.12,41,19.0012,198.20026403381632,33.620999999999995,0.0,521
